196,242,3,881250949
186,302,3,891717742
22,377,1,878887116
244,51,2,880606923
166,346,1,886397596
298,474,4,884182806
115,265,2,881171488
253,465,5,891628467
305,451,3,886324817
6,86,3,883603013
62,257,2,879372434
286,1014,5,879781125
200,222,5,876042340
210,40,3,891035994
224,29,3,888104457
303,785,3,879485318
122,387,5,879270459
194,274,2,879539794
291,1042,4,874834944
234,1184,2,892079237
119,392,4,886176814
167,486,4,892738452
299,144,4,877881320
291,118,2,874833878
308,1,4,887736532
95,546,2,879196566
38,95,5,892430094
102,768,2,883748450
63,277,4,875747401
160,234,5,876861185
50,246,3,877052329
301,98,4,882075827
225,193,4,879539727
290,88,4,880731963
97,194,3,884238860
157,274,4,886890835
181,1081,1,878962623
278,603,5,891295330
276,796,1,874791932
7,32,4,891350932
10,16,4,877888877
284,304,4,885329322
201,979,2,884114233
276,564,3,874791805
287,327,5,875333916
246,201,5,884921594
242,1137,5,879741196
249,241,5,879641194
99,4,5,886519097
178,332,3,882823437
251,100,4,886271884
81,432,2,876535131
260,322,4,890618898
25,181,5,885853415
59,196,5,888205088
72,679,2,880037164
87,384,4,879877127
290,143,5,880474293
42,423,5,881107687
292,515,4,881103977
115,20,3,881171009
20,288,1,879667584
201,219,4,884112673
13,526,3,882141053
246,919,4,884920949
138,26,5,879024232
167,232,1,892738341
60,427,5,883326620
57,304,5,883698581
